"","Month","Day","Year","location","route","operator","aboard","fatalities","summary","deathRate"
"192","July","28","2010","Pakistan","Karachi - Islamabad","Airblue",152,152,"The passenger plane crashed in the Margalla hills while attempting to land at Benazir Bhutto International Airport. The tower lost contact with the plane as it was about to land in poor weather conditions. Controlled Flight into Terrain, in which aircrew failed to display superior judgment and professional skills in a self created unsafe environment. In their pursuit to land in inclement weather, they committed serious violations of procedures and breaches of flying discipline, which put the aircraft in an unsafe condition over dangerous terrain at low altitude.",100
"193","August","01","2010","Alaska","?","All West Freight",3,3,"The cargo plane crashed into Mount Healy while en route.",100
"194","August","03","2010","Russia","Karsnoyarsk - Igarka","Katekavia Airline",15,12,"The plane crashed while on approach to Igarka Airport in adverse weather conditions. Crew tried to land in below weather minimums. Execution of an approach in conditions worse than the weather minima of the airfield, aircraft, and pilot. The failure of the crew to take a timely decision for a missed approach when the plane descended below the minimum safe height in the absence of reliable visual contact with approach lights and runway lights. This caused the aircraft to strike trees and the ground in controlled flight.",80
"195","August","09","2010","Alaska","?","GCI Communications Corp.",9,5,"The floatplane, carrying passengers to a fishing site crashed into a brush and rock covered mountainside in light rain and fog. Former Alaska U.S. Senator, Ted Stevens, was among those killed.The NTSB found the probable cause to be the pilot’s temporary unresponsiveness for reasons that could not be established from the available information. There was no mechanical problem with the plane and that weather was not likely a factor in the crash.",55.56
"196","August","16","2010","Colombia","Bogota - San Andreas Island","AIRES Colombia",131,2,"The airliner crashed onto the runway and broke in two during a major storm. One hundred twenty four people were injured. One passenger died of a heart attack and a 11- year-old girl died later of head injuries. Execution of the flight below the angle of approach, due to a misjudgment of the crew, believing to be much higher, leading the aircraft to fly a typical trajectory of a 'black hole' illusion, which was experienced during the night-time approach to a runway with low contrast surrounded in bright focused lights, aggravated by bad weather of heavy rain.",1.53
"197","August","21","2010","Alaska","Swikshak Lagoon - King Salmon","Branch River Air Service",4,4,"Crashed in the water off Katmai National Park. Only fragments of the plane were foud. No bodies were ever found. The probable cause was undetermined.",100
"198","August","24","2010","China","Harbin - Yichun","Henan Airlines",96,44,"The plane overshot the runway while landing and burst into flames. The pilot violated aviation rules during the descent, did not locate the runway before landing and abandoned the crashed aircraft.",45.83
"199","August","24","2010","Nepal","Kathmandu - Lukla","Agni Air",14,14,"The crew decided to divert to Simara Airport due to poor weather conditions at Kathmandu. Contact with ATC was lost when the plane crashed into a hillside at 9,000 ft., 20 miles SSW of Kathmandu. The crew members became disoriented after they lost contact with the ATC due to failure of both generators and the exhaustion of the backup battery.",100
"200","August","25","2010","Congo Democratic Republic","Kinshasa - Bandundu","Filair",20,19,"The plane crashed 2km from the airstirp and impacted a house as it attempted to land following a go-around. A passenger brought aboard a crocodile hidden in a sports bag. The crocodile escaped, causing a panic among passengers who all rushed to one end of the plane. This caused an imbalance in the aircraft which led to loss of control and a crash.",95
"201","August","27","2010","Venezuela","Buena Vista - Cararabo","Military - Venezuelan National Guard",10,10,"The helicopter crashed while taking off on a counter-drug mission, killing all 10 soldiers on board. They were searching for a group of suspected drug traffickers in southwestern Apure state.",100
"202","August","31","2010","Papua New Guinea","Port Moseby - Misima Island","Trans Air",5,4,"While attempting to land in heavy rain, the plane slid off the runway and ran into some trees bursing into flames. The copilot survived.",80
"203","September","03","2010","United Arab Emirates","Dubai - Bonn, Germany","United Parcel Service- UPS",2,2,"The cargo plane crashed 10 km North of Dubai Airport shortly after taking off. The plane was attempting to return to the airport when the accident happened. The data recorder indicated there was smoke or fire coming from the cargo area. The cargo plane's pilots struggled to see their primary flight instrument displays as thick smoke filled the cockpit. The pilots could  not manually control the plane’s elevation and direction, probably because cables running above the likely location of a cargo fire lost tension. The fire began near where a shipment of lithium batteries were stored.",100
"204","September","04","2010","Fox Glacier Airstrip","Fox Glacier Airstrip - Fox Glacier Airstrip","Sky Dive New Zealand",9,9,"Seconds after taking off from Fox Glacier airstrip, the aircraft crashed and burned in a field. Investigators blamed an overloaded plane and too much weight towards the back of the plane.",100
"205","September","13","2010","Venezuela","Porlamar - Puerto Ordaz","Conviasa Airline",51,17,"While en route, the passenger plane crashed and burned in a storage yard of a steel foundry, six miles SE of Puerto Ordaz Airport, after the pilot reported having problems controlling the aircraft.",33.33
"206","September","21","2010","Afghanistan","?","International Security Assistance Force",13,10,"The military helicopter crashed while en route. There were no reports of enemy fire prior to the accident.",76.92
"207","October","06","2010","Tajikistan","?","Military - Tajik National Guard",28,28,"The military helicopter crashed after hitting power lines.",100
"208","October","06","2010","Mexico","Minatitlan - Veracruz","Aviones Taxi AIFE",8,8,"The air taxi crashed into mountains in poor weather conditons",100
"209","October","12","2010","Afghanistan","Bagram AB - Kabul","National Air Cargo",8,8,"The cargo plane crashed into a mountainside about 18 miles east of Kabul Airport.",100
"210","October","21","2010","Congo","Bukavu - Shabund","Tracep",2,2,"The cargo plane experienced an engine failure 5 minutes after taking off causing the aircraft to crash.",100
"211","October","27","2010","Indonesia","Nabire - Ambon","Indonesian Police",5,5,"Five Indonesian police officers, on a mission to help flood victems, were killed when their plane crashed into a tree while attempting to land in poor weather conditons.",100
"212","November","04","2010","Cuba","Santiago de Cuba- Havana","Aerocaribbean",68,68,"While the plane was en route, the pilot radioed an emergency message. Contact was lost and the plane crashed into mountainous terrain. All 61 passenger and 7 crew were killed.Icing  in combination with crew errors in handling the situation.",100
"213","November","05","2010","Pakistan","Karachi - Oil compound in Sindh province","JS Air",21,21,"The plane, carrying Italian oil company personne,l suffered an engine failure on climb-out and was attempting to return to the airport when it nose-dived and crashed near a residential area in Gulistan-e-Jauhar.",100
"214","November","25","2010","Russia","?","NARZ",10,7,"The helicopter, which was delivering workers to a drilling site, crashed and burned while attempting to land, after the tail rotor became entangled in wires.",70
"215","November","27","2010","Pakistan","Karachi - Khartoum","Sun Way",8,8,"The cargo plane, carrying 31 tons of relief supplies for Sudan, crashed into buildings of the Naval Housing Colony while attempting to return to runway 07R shortly after taking off from Karachi.",100
"216","December","04","2010","Russia","Moscow -Makhachkala, Dagestan","Dagestan Airlines",169,2,"About 80km out from Moscow, the crew reported losing all three engines, electrical power and navigation equipment. They decided to divert back to Moscow. Visual contact with the ground could not be established until breaking through the overcast at 500 feet. The aircraft landed, skidded off the runway and broke into three pieces. Unintentional shutdown of supply tank booster pumps when the flight engineer carried out manual fuel transfer procedures during the climb, leading to instantaneous oscillation of fuel flow to the engines and their speed, a shut down of the outer engines and power supply problems in the aircraft for 2 minutes 23 seconds due to the failure of three generators. Failure to use all the possibilities by the crew to restore engine power;",1.18
"217","December","15","2010","Nepal","Lamidanda - Kathmandu","Tara Air",22,22,"The plane crashed after its right wing clipped a mountaintop while en route.",100
"218","January","01","2011","Russia","Surgut - Moscow","Kogalmavia",124,3,"The passenger jet caught fire and exploded as it taxied for take off. Three passenger were killed and 43 injured during the evacuation. Electrical short.",2.42
"219","January","09","2011","Iran","Tehran - Orumiyeh","Iran Air",105,77,"The accident happened after the plane was unable to land because of poor weather conditions and was attempting a go-around. The aircraft crashed 5 miles from the Orumiyeh airport in a snowy field..",73.33
"220","February","08","2011","South Africa","Queenstown - Plettenberg Bay","Majuba Aviation",9,9,"When the crew encountered dense fog, limiting visibility, the pilot aborted the landing and was in the process of a go-around when the plane crashed into the sea.",100
"221","February","10","2011","Ireland","Belfast - Cork","Manx2",12,6,"The Metroliner made an approach to Runway 17 in low visibility and the crew decided to go-around. A second attempt to land on Runway 35 was also unsuccessful and resulted in another go-around. During a third landing attempt on Runway 17, the aircraft crashed adjacent to Taxiway C and came to rest upside down. A fire soon erupted. Four passenger and both crew members were killed. Improper crew coordination and procedures led to loss of control of the aircraft. A contributing factor was inadequate maintenance causing the two engines to develop unequal thrust.",50
"222","February","14","2011","Honduras","San Pedro Sula - Tegucigalpa","Central American Airways",14,14,"The small airlilner crashed into a hill at an elevation of 2,000 feet while on approach in poor visibility.",100
"223","February","22","2011","Venezuela","El Vigia - San Domingo","Maparca",6,6,"For unknown reasons, the small plane crashed into a field while en route.",100
"224","March","21","2011","Congo","Brazzaville - Pointe Noire","Trans Air Cargo",9,9,"The cargo plane was approaching Runway 17 at Pointe-Noire Airport when it crashed in the Mvou Mvou residential area and was destroyed.",100
"225","April","04","2011","Congo","Kisangani - Kinshasa","United Nations",33,32,"The plane operated on behalf of the United Nations Organization Stabilization Mission and was leased from Geogian Airways. While attempting to land in rain, thunderstorms and strong winds at Kinshasa, the plane missed the runway and crashed. Twenty eight passengers and crew of 4 were killed. One passenger survived. he inappropriate decision of the crew to continue the approach, in face of extremely inclement weather being displayed on their weather radar. Lack of adequate supervision by the Operator to ensure that its crew complied with established procedures including weather avoidance procedures and stabilized approach criteria.",96.97
"226","April","19","2011","India","?","Pawan Hans Helicopters Ltd.",23,18,"The helicopter crashed into a hill as it attempted to land at a high altitude helipad Six, including the copilot escaped with minor injuries..",78.26
"227","April","21","2011","Brazil","Manaus - Santarem","AmazonavesAir Taxi",7,7,"The airl taxi crashed about one minute after taking off from Manaus Airport.",100
"228","May","07","2011","Indonesia","Sorong - Kaimana","Merpati Nusantara Airlines",27,27,"The turboprop had been circling Kaimana Airport for about 15 minutes when it crashed into the sea, 400 meters offshore, in poor weather conditions.",100
"229","May","18","2011","Argentina","Neuquen - Comodoro Rivadavia","SOL Lineas Aereas",22,22,"The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning.
Inadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew.",100
"230","May","25","2011","India","Patna - New Delhi","Air Charter Services Pvt. Ltd.",7,7,"While en route, the plane crashed into the roof of a house and burst into flames. The flight was transporting a 20 year-old patient to Apollo Hospital. The patient, two doctors, two attendants, the pilot and copilot, as well as three people in the house were killed. The plane encountered updraft and downdraft, resulting in disorientation of the two-member cockpit crew, who lost control.",100
"231","June","20","2011","Russia","Moscow - Petrozavodsk","RusAir Airlines",52,47,"The airliner crashed while on final to Petrozavodsk in heavy fog, landing 1 kilometers short of the runway. The plane soon broke up and caught on fire. Factors in the accident: heavy fog. The crew could not see the runway's ground lights, but did not decide to turn away and make another attempt at landing. The plane hit nearby trees before crashing. Cooperation among the crew during the landing attempt was poor, with the pilot subordinating himself to the navigator and the co-pilot effectively excluded from decisions. The navigator was intoxicated.",90.38
"232","July","06","2011","Afghanistan","Baku, Azerbaijan - Bagram Air Base, Afghanistan","Silk Way Airlines",9,9,"While flying at 12,500 feet, the cargo plane crashed into a mountain peak, exploded and burned about 15 miles from Bagram. The aircraft was loaded with fuel for the International Security Assistance Force in Afghanistan.",100
"233","July","08","2011","Congo","Kinshasa - Kisangani","Hewa Bora Airways",115,77,"The airliner crashed and broke up after missing the runway while attempting to land at Bangoka International Airport. There was heavy rain, thunderstorms and limited visibility at the time of the accident.",66.96
"234","July","11","2011","Russia","Tomsk - Surgut","Angara Airlines",37,7,"After reporting an engine fire in the left engine, the pilot attempted to make an emergency landing at Strezhevoy but ditched into the Orb River. Both pilots were not certified to fly. The captain's license was revoled and the first office had not finished his requalification exam.",18.92
"235","July","13","2011","Brazil","Recife - Natal","NOAR Linhas Aéreas",16,16,"The regional airliner had taken off from Runway 18 after which the pilot reported that he wanted to return for an emergency landing. He then stated he was attempting a forced landing on the beach of Boa Viagem but instead the plane crashed into a vacant lot and burst into flames near the beach, 1.2 miles from the runway threshold.",100
"236","July","26","2011","Morocco","Dakhla - Guelmim - Kinitra","Military - Royal Moroccan Air Force",80,80,"The military transport plane crashed in the mountain, 6 miles northeast of Guelmim in bad weather while attempting to land.",100
"237","July","28","2011","South Korean","Seoul - Shanghai","Asiana Airlines",2,2,"The cargo plane crashed into the sea about 70 miles west of Jeju after the crew reported a fire in a cargo hold. The plane was carrying 58 tons of electronic and machine parts, including lithium batteries.",100
"238","August","02","2011","Brazil","Canoas - Rio de Janeiro","Military - Brazilianl Air Force",8,8,"While en route, the plane dove into the ground and exploded.",100
"239","August","06","2011","Afghanistan","?","Military - U.S. Army",38,38,"Thirty-eight people, including 31 U.S. special forces troops and 7 Afghan soldiers were killed when their helicopter was shot down with a rocket-propelled grenade during overnight operations against Taliban insurgents.",100
"240","August","09","2011","Russia","Magdan - Keperveem","Avis Amur",11,11,"After leaving Magdan the crew of the cargo plane reported a fuel leak and an engine fire. While trying to return to Magdan, the plane crashed 6 miels from Omsukchan, 190 miles from its original take-off point. The plane carried 18 tons of cargo.",100
"241","August","13","2011","Alaska","McGarth - Anvik","Inland Aviation Services",6,2,"The aircraft impacted mountainous, brush covered terrain, about 37 miles west of McGrath in low clouds, rain and reduced visibility. Pilot error. The pilot's decision to continue VFR flight into instrument meteorological conditions, which resulted in an in-flight collision with mountainous terrain.",33.33
"242","August","20","2011","Canada","Yellowknife - Resolute Bay","First Air",15,12,"While on instrument approach and initiating a go-around, the plane hit a hill side 2km east of the runway and broke up into 3 pieces.The crew had initiated the go-around 2 seconds before impact. The late initiation and subsequent management of the descent resulted in the aircraft turning onto final approach 600 feet above the glideslope, increasing the crew’s workload and reducing their capacity to assess and resolve the navigational issues during the remainder of the approach.",80
"243","August","26","2011","Missouri","Bethany - Mosby","LifeNet",4,4,"The helicopter was headed for Mosby to refuel when it crashed in a field 1.7 nm north-northeast of Midwest National Air Center. The pilot, nurse, paramedic and patient were all killed.",100
"244","September","02","2011","Chile","Santiago - Juan Fernandez Island","Chilean Air Force",21,21,"The aircraft attempted to land at the airport on two occasions, but strong winds prevented it from landing.The aircraft subsequently crashed into the sea 1 kilometre (1,100 yd) off the island on its third approach. One of the killed persons was Felipe Camiroaga, the most important TV entertainer in Chile.",100
"245","September","06","2011","Bolivia","Santa Cruz - Trinidad, Bolivia","Aerocon",9,8,"The plane crashed into the jungle while on approach to Runway 14 at Trinidad Airport. After the crew reported they were turning into the final approach, radio contact was lost. The plane was found 2 days later, 10 km from the airport. One passenger survived.",88.89
"246","September","07","2011","Russia","Yaroslavl - Minsk","YAK Service",45,44,"The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for the
Yak-40. This applied the brakes, causing a downward pitch force that  prevented the plane from rotating to take off. They made the fatal mistake of failing to abort the takeoff, but kept applying more upward
  pitch with the result that when the plane finally left the ground and the downward pitch force stopped, it went into a stall within seconds.",97.78
"247","September","14","2011","Angola","Huambo - Luanda","Military - FANA Forca Aerea Nacional Angolana",36,30,"The military plane crashed, broke in two and burned while attempting to takeoff from Huambo Airport. Six persons survived including the pilot and copilot.",83.33
"248","September","16","2011","Nevada","Air race","Private - Aero Trans Corp",1,1,"The pilot of the aircraft participating in an air race lost control and dove into the spectator box seating area disintegrating upon impact. A section of the left elevator trim tab separated in flight. Investigation determined that the looseness of the elevator trim tab attachment screws and a fatigue crack in one of the screws caused a decrease in the structural stiffness of the elevator trim system.",100
"249","September","20","2011","Haiti","Port au Prince - Cap Haitien","SALSA d'Haiti",3,3,"The plane crashed into a flooded sugar cane field while attempting to land in heavy rain and thunderstorms. The passenger and both pilots were killed.",100
"250","September","22","2011","Canada","Thor Lake - Great Slave Lake","Arctic Sunwest Charters",9,2,"While coming in for a landing at Great Slave Lake the float plane hit powerlines, two cars and part of a building.  The pilot attempted to abort the landing after an aircraft float dug into the water. A cross-wind flipped the plane on end and it clipped power lines in front of a building, spinning it 90 degrees. The plane then crashed, floats first, into a façade. The fuselage then rotated on the ground and, the floats demolished two vehicles and came to rest in a parking lot facing back the way it had come.",22.22
"251","September","25","2011","Nepal","Sightseeing","Buddha Air",19,19,"The sightseeing flight of Mt. Everest struck terrain while on approach to Kathmandu-Tribhuvan Airport. One passenger survived the accident but died on the way to the hospital.",100
"252","September","29","2011","Indonesia","Medan - Kutacane","Nusantara Buana Air",18,18,"Contact with the plane was lost 10 minutes after taking off from Medan. Wreckage was located near Bohorok, on the slope of a mountain 6,100 feet high. VFR flight into IMC conditions. Lack of crew coordination.",100
"253","October","04","2011","Canada","Yellowknife - Lutsek'e","Air Tindi",4,2,"The plane hit the top of a hill while enroute, approximately 20 nm from Lutsek'e Airport. The pilot and one passenger were killed.",50
"254","October","13","2011","Papua New Guinea","Lae - Madang","Airline PNG",32,28,"While on approach to Madang, the plane crashed into dense forest near the Gogol River, 20 km south of Madang. The two pilots and two pasengers survived the accident. Overspeeding of both propellers. The plane had to be manually flown because the aircraft's yaw damper was unserviceable. Neither pilot noticed the aircraft's speed increasing to its maximum operating speed. The pilot-in-command pulled the power levels of the plane 'quite quickly'. Moments later both propellers over-sped simultaneously. The over-speeding propellers back-drove the turbines in the engines (instead of the engine turbines driving the propellers) and this caused severe damage to the left engine.After the emergency began, the first officer quickly identified the double propeller over-speed. At about the same time, smoke appeared in the cockpit and various aircraft system malfunction alerts activated. The crew did not respond to any of these alerts by implementing the emergency procedures detailed in company manuals and the quick reference handbook.",87.5
"255","October","14","2011","Botswana","Xakanaka Airstrip - Pom Pom Airstrip","Moremi Air Charters",11,8,"The sightseeing plane crashed immediately after taking off for Xakanaka Airstrip in the Okavango Delta.",72.73
"256","October","27","2011","Canada","Vancouver - Kelowna","Northern Thunderbird Air Inc.",9,1,"After taking off, the pilot reported problems with the aircraft and began returning to the airport. The plane crashed 900 meters short of Runway 26L. The plane took off even though the passengers reported an oil leak under one of the wings to the crew. Shortly after taking off the captain reported he was returning to the airport due to an oil problem.",11.11
"257","November","10","2011","Hawaii","Sightseeing","Blue Hawaiian Helicopter",5,5,"The sightseeing helicopter, on a tourist excursion of West Maui and Molokai, slammed into a mountainside and burst into flames while flying in heavy rain and winds. The pilot's failure to maintain clearance from mountainous terrain while operating in marginal weather conditions which resulted in impact of the horizontal stabilizer and lower forward portion of the Fenestron with he ground and or vegetation.",100
"258","November","11","2011","Mexico","Campo Militar Marte - Ciudad de Cuernavaca, Morelos","Fuerza Aerea Mexicana",8,8,"The Mexican presidential helicopter crashed into the side of a hill in low clouds, at a height of 2,600 meters. The helicopter carried the Secretary of the Interior, José Francisco Blake Mora and other government officials.",100
"259","November","24","2011","Indonesia","Nabire - Sugapa","Susi Air",2,1,"While attempting to land, the pilot of the cargo plane pulled up from the approach to avoid a pedestrian on the runway and crashed into the surrounding mountains seven miles away. The copilot was killed.",50
"260","November","28","2011","Illinois","Jesup - Chicago","Trans North Aviation Ltd.",5,3,"The air ambulance crashed into a wooded area after the pilot reported having fuel problems. The patient, the patient's wife and one other person onboard was killed. Pilot error. The pilot's inadequate preflight planning and in-flight decision making, which resulted in a loss of engi9ne power due to fuel exhaustion during approach. Contributing to the accident was the pilot's decision to operate an airplane after using illicit drugs.",60
"261","December","07","2011","Nevada","Sightseeing","Sundance Helicopters Inc.",5,5,"The touring helicopter on a sightseeing flight of the Las Vegas Strip and Hoover Dam, crashed into a mountainside between Lake Mead and Henderson.say Critical steering hardware was disconnected, and the bolt and other tiny parts that should have secured it weren't found on the scene. Records show the mechanism was overhauled the day before but passed multiple inspections on the day of the crash. Inadequate maintenance of the helicopter, including the improper reuse of a degraded self-locking nut, the improper or lack of installation of a split pin and inadequate post maintenance inspections which resulted in the in-flight separation of the servo control input rod from the fore/aft servo and rendering the helicopter uncontrollable.",100
"262","December","09","2011","South Dakota","Sioux Falls, SD - Rapid City, SD","Quest Aviation",4,4,"Thirty seconds after taking off the air-taxi began trailing white smoke from the left engine. The pilot attempted to return to the airport when the nose dropped abruptly and the plane impacted the ground.",100
"263","December","26","2011","Florida","Jacksonville, FL - Gainsville, FL","?",3,3,"The on-demand air taxi was on a flight to procure an organ for transplantation when it crashed in a wooded area near the Jacksonville Sheriff's Department Aviation Unit. The helicopter was at a height of 30 feet when it struck a 50 ft. tree.",100
"264","January","10","2012","Canada","Winnipeg - North Spirit Lake","Keystone air Service Limited",5,4,"While on approach, the plane crashed on a frozen lake, 1 km from the runway. The crash occurred during blizzard conditions.",80
"265","January","30","2012","Congo","Bukavu - Namoya","TRACEP Congo Aviation",5,3,"The cargo plane was on approach to land when it crashed in a forest 10km from Namoya.",60
"266","March","15","2012","Puerto Rico","San Juan - Saint Croix","Jet One Express",2,2,"The cargo plane just took off and was carrying 2,500 lbs of bread when the pilot radioed he was having engine trouble and returning to the airport. The plane crashed in the Torrecilla Lagoon, killing both pilots.",100
"267","March","16","2012","Afghanistan","?","Military - Turkish Army (NATO)",12,12,"The helicopter crashed on the outskirts of Kabul in the Bagrami District. It appeared the plane was trying to make an emergency landing when it crashed into houses killing four people on the ground.",100
"268","April","02","2012","Russia","Tyurmen - Surgut","UTAir",43,33,"After taking off, the plane lost height during the initial climb and crash landed in a snowy field, 1.5 miles past the end of the runway. The impact split the plane into three pieces. Icing. The plane was not deiced before taking off.",76.74
"269","April","20","2012","Pakistan","Karachi - Islamabad","Bhoja Airlines",127,127,"While attempting to land, the plane impacted terrain about 5 km short of and slightly left of the extended runway center line of Islamabad's runway 30. The plane completely broke up, burst into flamesand came to rest in Hussain Abad Village. The crew were trained to fly the Boeing 737-200 but not the more advanced 737-236 which features an automated flight deck. The aircraft accident took place as a result of combination of various factors which directly and indirectly contributed towards the causation of accident.The primary causes of accident include, ineffective management of the basic flight parameters such as airspeed, altitude, descent rate attitude, as well as Page 75 of 78 thrust management. The contributory factors include the crew’s decision to continue the flight through significant changing winds associated with the prevailing weather conditions and the lack of experience of the crew to the airplane’s automated flight deck",100
"270","April","30","2012","Colombia","Barranquilla - Caucasia","Military -Fuerza Aerea Colombiana",13,13,"The helicopter caught fire and crashed while en route.",100
"271","May","09","2012","Indonesia","Demonstration flight","Sukhoi",45,45,"The Russian jet crashed on the slopes of Mount Salak at an elevation of 5,200 ft. The airliner was conducting a demonstration flight to prospective customers. The last radio contact with the flight was at 15:30 when the crew requested a descent from 10,000ft to 6,000ft. All 40passengers, 6 crew and 2 Sukhoi officials were killed. Pilot error. The TAWS had sent a 'terrain ahead' warning before the crash, followed by six 'avoid terrain' warnings. The pilot in command switched the TAWS off as he assumed there was a database problem.",100
"272","May","14","2012","Nepal","Pokhara - Jomsom","Agni Air",21,15,"The plane was attempting to land and went around on final approach to Runway 06. The aircraft joined a left downwind when a wing contacted a hilltop about 900 feet north of the airport.The flight attendant and 5 passengers survived the accident.",71.43
"273","June","02","2012","Ghana","Lagos, Nigerai - Accra, Ghana","Allied Air",4,0,"While on approach to Runway 21 at Kotika International Airport, the cargo plane overran the runway, broke through the perimeter fence, went across a main road and collided with a bus.",0
"274","June","03","2012","Nigeria","Abuja - Lagos","Dana Air",153,153,"The plane was about 11 miles from Lagos VOR when the crew declared an emergency reporting engine problems. The plane collided with a power line and crashed into the Iju/Ishaga area of Lagos, 1 mile adjacent to the runway. Double engine failure. Likely  the crew's failure to properly monitor fuel flow and turn on proper fuel pumps.",100
"275","June","06","2012","Peru","Mazuco - Cusco","HeliCusco",14,14,"The helicopter was flying back to Cusco after conducting aerial surveillance on a possible site for a hydroelectric project near Puno, in southern Peru when it hit the side of a cliff.",100
"276","June","11","2012","Russia","?","Illegal flight",13,13,"The plane disappeared after being taken on an illegal flight. A group of people were having a party at the airfield near the city of Serov, Russia. They  managed to illegally steal an An-2 plane parked at the airfield. The plane went missing and was found on April 4, 2013, 8 km from Serov. Among those killed were the Chief of Serov city police, three police inspectors, the guard of the airport, a private company guard, a pensionist, a young unemployed man and a local mobile shop owner. The pilot was intoxicated at the time of the accident.",100
"277","June","21","2012","Indonesia","Training flight","Military - Indonesian Air Force",7,7,"The plane was attempting to land on runway 18 during a training exercise when it crashed about 1 mile from the runway into houses in the Rajawali housing complex.",100
"278","August","18","2012","Philippines","Cebu-Naga","Aviatour's Fly'n Inc.",4,3,"While en route, the crew of the chartered flight radioed they were making an emergency landing at Masbate Airport due to engine problems. The airplane then crashed into the sea and broke apart off the shores of Masbate Island some 980 ft away from the island's airport. An investigation found that improper maintenance led to the right engine suffering an internal failure, which likely would have caused misfiring and intermittent operation of the fuel pump. The failure was gradual and the aircraft developed engine problems 23 minutes after take off. However, instead of turning back to Cebu, the pilot decided to continue the flight, until the engine failed completely, 37 minutes later and the aircraft crashed during the subsequent attempt to land at Masbate. The investigation determined that the pilot didn't use the correct procedure for trying to land a Piper Seneca with one engine inoperative, in that he lowered the undercarriage and flaps too soon; and that during his last flight proficiency test he had not been tested with respect to flying with one engine inoperative.",75
"279","August","19","2012","Sudan","Khartoum - Talodi","Alfa Airlines",32,32,"After an aborted landing, the plane flew into a slope of the Nuba mountains while on approach and attempting to land at Talodi air strip. There was a dust storm in the area at the time. All 26 passengers and crew of 6 were killed including 2 Sudanese ministers.",100
"280","September","12","2012","Russia","Petropavlovsk-Kamchatsky - Palana","Petropavlovsk-Kamchatsky Air Enteprise",14,10,"Crashed in a cedar forest, 6 miles from Palana Airport while on approach. There were heavy storm clouds and poor weather at the time of the accident. Both pilots were found to be intoxicated.",71.43
"281","September","28","2012","Nepal","?","Sita Air",19,19,"The plane crash landed on the bank of the Manohara River minutes after taking off from Trinbhuvan Airport. Some witnesses reported seeing the front of the plane on fire before it crashed. Overloading and the lack of performance in the climb phase due to loss of engine power led to a stall.",100
"282","October","07","2012","Sudan","?","Military - Sudanese Air Force",22,15,"The transport, carrying military personnel and equipment, crashed 25 miles southwest of Omdurman after experiencing engine trouble. The captain reported that both engines stopped working prior to the crash.",68.18
"283","October","07","2012","Antigua","Antigua - Montserrat","Fly Montserrat",4,3,"The small airliner took off from Runway 7 at V.C. Bird International Airport, lost height immediately after becoming airborne and crashed to the ground, nose first. There was heavy rains and lightning at the time of the accident.",75
"284","November","06","2012","Kansas","Wichita - Garden City, KS","Fedex operating for Baron Aviation",1,1,"The cargo plane climbed to an altitude of about 4,000 feet then attempted to return to the airport. The plane continued to lose altitude until it made a forced landing in a field and crashed into trees.",100
"285","November","21","2012","Yemen","Training","Military - Yemen Air Force",10,10,"The military transport crashed into the abandoned Al-Hasaba marketplace about 6 miles from Sanaa International Airport, shortly after taking off from runway 18. The crew was trying to make an emergency landing after an engine failed.",100
"286","November","30","2012","Congo","Pointe Noire - Brazzaville","Aero Service",7,7,"The cargo plane crashed into a dozen houses in the Mselou district in Bazzaville while attempting to land at the local airport. The plane caught on fire and came to rest in a ravine. There was heavy rain and thunderstorms in the area at the time of the accident.",100
"287","December","05","2012","South Africa","Pretoria - Mthatha Airport","Military - South African Air Force",11,11,"The military transport went missing while en route. The wreckage was found in the Drakensberg mountains near Ladysmith in KwaZulu-Natal province, some 210 miles southeast of Waterkloof Air Force Base. There was severe weather at the time of the accident.",100
"288","December","09","2012","Mexico","Monterey, Mexico - Toluca, Mexico","Starwood Management LLC",7,7,"The charter jet crashed about 60 miles from Monterey Mexico, about ten minutes after taking off. The plane plunged almost vertically from more than 28,000 feet and hit the ground in a nose-dive at a speed that may have exceeded 600 mph. Mexican-American singerJenni Rivera 43, her publicist and make-up artist were among the dead. She had just finished giving a concert in Monterey and was en route to Toluca to tape a Mexican TV show. A sudden and abrupt lack of control during ascent that provoked a sheer vertical drop of the plane that could have been triggered by a problem with the plane’s horizontal stabilizer. The plane was over 43 years old. The pilot, 78 was authorized to only fly as copilot. The copilot was not authroized to fly out of the United States. The copilot was not authorized to fly IFR which the plane was doing at the time of the accident.",100
"289","December","10","2012","Illinois","Medical flight","Rockford Memorial Hospital",3,3,"The medical helicopter crashed into a field while en route from Rockford hospital to Mendota hospital where they were going to pick up a patient. Light snow was reported in the area at the time of the accident. The pilot and two nurses were killed.",100
